지점번호,지점명,시작일,종료일,장마일수,강수일수,합계강수량
90,속초,1961-06-29,1961-07-14,16,0,
95,철원,1961-06-29,1961-07-14,16,0,
100,대관령,1961-06-29,1961-07-14,16,0,
101,춘천,1961-06-29,1961-07-14,16,0,
105,강릉,1961-06-29,1961-07-14,16,11,49.8
108,서울,1961-06-29,1961-07-14,16,14,220.9
112,인천,1961-06-29,1961-07-14,16,12,160.9
114,원주,1961-06-29,1961-07-14,16,0,
119,수원,1961-06-29,1961-07-14,16,0,
127,충주,1961-06-29,1961-07-14,16,0,
129,서산,1961-06-29,1961-07-14,16,0,
130,울진,1961-06-29,1961-07-12,14,0,
131,청주,1961-06-29,1961-07-14,16,0,
133,대전,1961-06-29,1961-07-14,16,0,
135,추풍령,1961-06-29,1961-07-14,16,14,343.7
136,안동,1961-06-29,1961-07-12,14,0,
138,포항,1961-06-29,1961-07-12,14,11,216.5
140,군산,1961-06-29,1961-07-12,14,0,
143,대구,1961-06-29,1961-07-12,14,12,361.4
146,전주,1961-06-29,1961-07-12,14,14,264.4
152,울산,1961-06-29,1961-07-12,14,9,150.2
155,창원,1961-06-29,1961-07-12,14,0,
156,광주,1961-06-29,1961-07-12,14,14,245.4
159,부산,1961-06-29,1961-07-12,14,11,336.3
162,통영,1961-06-29,1961-07-12,14,0,
165,목포,1961-06-29,1961-07-12,14,13,173.1
168,여수,1961-06-29,1961-07-12,14,11,167.5
170,완도,1961-06-29,1961-07-12,14,0,
184,제주,1961-06-29,1961-07-11,13,9,134.9
185,고산,1961-06-29,1961-07-11,13,0,
188,성산,1961-06-29,1961-07-11,13,0,
189,서귀포,1961-06-29,1961-07-11,13,8,133.8
192,진주,1961-06-29,1961-07-12,14,0,
201,강화,1961-06-29,1961-07-14,16,0,
202,양평,1961-06-29,1961-07-14,16,0,
203,이천,1961-06-29,1961-07-14,16,0,
211,인제,1961-06-29,1961-07-14,16,0,
212,홍천,1961-06-29,1961-07-14,16,0,
216,태백,1961-06-29,1961-07-14,16,0,
221,제천,1961-06-29,1961-07-14,16,0,
226,보은,1961-06-29,1961-07-14,16,0,
232,천안,1961-06-29,1961-07-14,16,0,
235,보령,1961-06-29,1961-07-14,16,0,
236,부여,1961-06-29,1961-07-14,16,0,
