시설ID,시도,시군구,품목명,품종,재배면적,시설유형,재배형태,단동/연동 구분,수집일,외부온도,외부습도,외부 일사량,외부풍향,외부풍속,외부강우,강우감지,내부온도,내부습도,내부CO2,내부 일사량,토양EC,토양PH,지온,지습,(양액)총배액,(양액)총급액,(양액)배액PH,(양액)공급PH,(양액)배액EC,(양액)공급EC,(양액)지온,(양액)지습,배기팬작동여부,CO2발생장치작동여부,보광등작동여부,난방기작동상태,난방기작동여부,유동팬작동상태,유동팬작동여부,보온커튼작동상태,보온커튼작동여부,차광커튼작동상태,차광커튼작동여부,우측삼중측창 작동여부,좌측삼중측창 작동여부,우측이중측창 작동여부,좌측이중측창 작동여부,우측일중측창 개도,우측일중측창 온도폭,우측일중측창 설정온도,우측일중측창 작동여부,우측일중측창 작동상태,좌측일중측창 개도,좌측일중측창 온도폭,좌측일중측창 설정온도,좌측일중측창 작동여부,좌측일중측창 작동상태,측창,우측이중천창 작동여부,좌측이중천창 작동여부,우측일중천창 개도,우측일중천창 온도폭,우측일중천창 설정온도,우측일중천창 작동여부,우측일중천창 작동상태,좌측일중천창 개도,좌측일중천창 온도폭,좌측일중천창 설정온도,좌측일중천창 작동여부,좌측일중천창 작동상태,천창,조사일,주차,생장길이,화방높이,줄기직경,엽장,엽폭,엽수,개화군,착과군,열매수,최종화방차수
PF_0020760_01,전라북도,진안군,방울토마토,,"4,000",,,,2021-02-04 10:00:00,-1,,461,,2,,0,12,48,362,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,0,,,57,57,,,,0,,,,,0,,,,,,,,,,,,,,
PF_0020760_01,전라북도,진안군,방울토마토,,"4,000",,,,2021-02-04 11:00:00,0,,590,,3,,0,13,43,289,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,0,,,60,60,,,,0,,,,,0,,,,,,,,,,,,,,
PF_0020760_01,전라북도,진안군,방울토마토,,"4,000",,,,2021-02-04 12:00:00,0,,655,,2,,0,16,41,259,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,0,,,62,61,,,,0,,,,,0,,,,,,,,,,,,,,
PF_0020760_01,전라북도,진안군,방울토마토,,"4,000",,,,2021-02-04 13:00:00,1,,656,,2,,0,17,43,230,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,0,,,67,63,,,,0,,,,,0,,,,,,,,,,,,,,
PF_0020760_01,전라북도,진안군,방울토마토,,"4,000",,,,2021-02-04 14:00:00,1,,586,,2,,0,16,43,245,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,0,,,65,61,,,,0,,,,,0,,,,,,,,,,,,,,
PF_0020760_01,전라북도,진안군,방울토마토,,"4,000",,,,2021-02-04 15:00:00,1,,459,,2,,0,16,47,214,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,0,,,62,55,,,,0,,,,,0,,,,,,,,,,,,,,
PF_0020760_01,전라북도,진안군,방울토마토,,"4,000",,,,2021-02-04 16:00:00,2,,281,,1,,0,14,52,187,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,0,,,9,9,,,,0,,,,,0,,,,,,,,,,,,,,
PF_0020760_01,전라북도,진안군,방울토마토,,"4,000",,,,2021-02-04 17:00:00,1,,78,,2,,0,10,58,190,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,0,,,0,0,,,,0,,,,,0,,,,,,,,,,,,,,
PF_0020760_01,전라북도,진안군,방울토마토,,"4,000",,,,2021-02-04 18:00:00,-1,,0,,0,,0,9,62,247,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,38,38,,,,0,,,,,0,,,,,,,,,,,,,,
PF_0020760_01,전라북도,진안군,방울토마토,,"4,000",,,,2021-02-04 19:00:00,-3,,0,,0,,0,9,61,294,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,24,24,,,,0,,,,,0,,,,,,,,,,,,,,
