시군별,2023년 농가,2023년 귀농 인구,귀농 비율,정곡_10a당_생산량_kg,현미_10a당_생산량_kg,조곡_10a당_생산량_kg,10a당 총 쌀 생산량,종합 점수,유통망 수,미곡처리장 수,총 임대 농기계 수,총저수량,총 저수량 규모별 (개)
경기 수원시,3575,0,0,0,0,0,0,0.028688383,0,0,31,390,2
경기 성남시,1137,0,0,470,506,634,1610,0.416039349,0,0,285,970,2
경기 안양시,1020,0,0,0,0,0,0,0.006670114,0,0,285,,
경기 부천시,1036,0,0,467,503,610,1580,0.408333162,0,0,285,0,0
경기 광명시,648,0,0,467,503,610,1580,0.404989487,0,0,285,28,1
경기 평택시,7946,73,0.009187012,491,529,674,1694,0.608306962,0,0,529,606,15
경기 안산시,1659,0,0,492,529,642,1663,0.434806764,1,0,285,320,2
경기 과천시,246,0,0,470,506,634,1610,0.408360962,0,0,285,1102,2
경기 오산시,1132,0,0,470,506,634,1610,0.41599626,0,0,285,597,6
경기 시흥시,1321,0,0,467,503,610,1580,0.410789211,0,0,285,3460,7
경기 군포시,596,0,0,470,506,634,1610,0.411377163,0,0,285,1477,2
경기 의왕시,673,0,0,470,506,634,1610,0.412040727,0,0,285,3516,3
경기 하남시,719,0,0,470,506,634,1610,0.412437142,0,0,285,34,1
경기 용인시,6913,56,0.00810068,492,530,651,1673,0.574782775,1,1,148,38197,53
경기 이천시,7908,84,0.010622155,518,557,676,1751,0.6410257,0,0,269,2852,17
경기 안성시,9421,81,0.008597813,485,523,640,1648,0.613591063,0,4,572,48802,62
경기 김포시,5187,58,0.011181801,497,535,680,1712,0.588192568,0,0,318,305,7
경기 화성시,9819,160,0.016294938,503,542,700,1745,0.74940509,1,0,397,10422,40
경기 광주시,3928,33,0.008401222,501,539,655,1695,0.537683109,0,0,109,1274,9
경기 여주시,6398,102,0.015942482,521,561,681,1763,0.676284894,0,0,321,4830,12
경기 양평군,5805,120,0.020671835,469,505,634,1608,0.672843358,0,0,194,2986,25
경기 의정부시,1055,0,0,483,520,641,1644,0.424363087,0,0,285,,
경기 동두천시,630,0,0,483,520,641,1644,0.420700557,0,0,285,0,0
경기 고양시,5266,0,0,503,542,694,1739,0.483751163,0,0,60,0,0
경기 구리시,437,0,0,0,0,0,0,0.001645984,0,0,285,,
경기 남양주시,3558,61,0.017144463,483,520,641,1644,0.594231629,0,0,152,2980,7
경기 파주시,7012,50,0.007130633,501,540,684,1725,0.577531423,0,20,390,8744,7
경기 양주시,3153,24,0.007611798,483,520,641,1644,0.50574103,0,1,479,6381,12
경기 포천시,5355,60,0.011204482,499,537,667,1703,0.589740755,0,0,283,8778,29
경기 연천군,2844,32,0.011251758,500,539,661,1700,0.544806169,0,1,302,1757,3
경기 가평군,3235,39,0.012055641,450,485,610,1545,0.51859343,0,6,288,185,2
경남 창원시,13170,40,0.003037206,516,556,693,1765,0.609534329,4,0,235,24949,170
경남 진주시,12211,60,0.004913602,492,529,658,1679,0.606764464,1,2,816,22766,270
경남 통영시,3269,20,0.006118079,493,531,658,1682,0.504411238,0,0,791,1543,48
경남 사천시,5654,49,0.008666431,497,535,663,1695,0.566761844,3,0,200,23003,154
경남 김해시,8175,43,0.005259939,491,528,667,1686,0.561313331,5,1,694,5025,129
경남 밀양시,9431,114,0.012087796,499,537,679,1715,0.677049182,0,0,403,20642,205
경남 거제시,5595,39,0.006970509,483,519,652,1654,0.537594001,0,0,193,3497,100
경남 양산시,2761,33,0.011952191,485,522,655,1662,0.538717963,0,0,287,1890,50
경남 의령군,3956,50,0.012639029,519,559,699,1777,0.596213893,0,0,1088,19333,163
경남 함안군,5113,56,0.010952474,491,529,670,1690,0.579094702,0,0,869,8409,191
경남 창녕군,6977,87,0.012469543,510,549,696,1755,0.645870077,0,0,1815,16770,224
경남 고성군,5370,17,0.003165736,504,543,681,1728,0.514526196,2,0,1286,23620,218
경남 남해군,6645,74,0.011136193,471,508,643,1622,0.590959702,0,0,377,12468,167
경남 하동군,5974,86,0.014395715,481,517,645,1643,0.619447025,2,1,888,44530,153
경남 산청군,5376,123,0.022879464,486,523,641,1650,0.695499698,0,0,637,22401,222
경남 함양군,4708,72,0.015293118,547,589,720,1856,0.656694951,6,3,529,15385,179
경남 거창군,5535,98,0.01770551,532,573,693,1798,0.684611243,1,0,1519,24098,178
경남 합천군,6353,98,0.015425783,503,542,680,1725,0.659113287,6,1,1616,22879,337
경북 포항시,12988,94,0.00723745,516,556,701,1773,0.678242185,0,0,327,46624,275
경북 경주시,12178,94,0.007718837,519,559,691,1769,0.673536588,1,0,630,86871,391
경북 김천시,12605,130,0.010313368,506,545,678,1729,0.711424498,0,0,370,9911,252
경북 안동시,11416,108,0.009460406,549,591,738,1878,0.715863099,9,0,643,13783,180
경북 구미시,9912,57,0.005750605,571,614,753,1938,0.655398322,0,0,539,20861,200
경북 영주시,7992,52,0.006506507,540,582,723,1845,0.615022655,1,0,495,16013,63
경북 영천시,7968,159,0.019954819,497,535,670,1702,0.743472772,17,9,525,37399,980
경북 상주시,13652,167,0.01223264,573,617,772,1962,0.820899038,13,0,1056,35075,216
경북 문경시,7539,104,0.013794933,576,620,775,1971,0.727485787,1,0,369,36927,47
경북 경산시,6812,51,0.007486788,521,561,692,1774,0.591820761,3,0,271,27406,295
경북 의성군,8637,202,0.02338775,547,589,739,1875,0.848155754,0,0,498,39544,696
경북 청송군,5299,82,0.015474618,523,563,697,1783,0.65219606,7,0,431,16422,188
경북 영양군,2896,40,0.013812155,509,548,676,1733,0.574735116,0,0,327,11326,104
경북 영덕군,3102,52,0.016763378,508,547,674,1729,0.602287215,1,2,153,22445,118
경북 청도군,6582,108,0.016408387,499,537,680,1716,0.672450953,0,2,324,24505,287
경북 고령군,3930,69,0.017557252,497,535,694,1726,0.625877907,1,0,700,10297,167
경북 성주군,5836,93,0.015935572,486,523,665,1674,0.640193281,12,0,308,50042,176
경북 칠곡군,4601,31,0.006737666,512,551,696,1759,0.547552514,0,0,339,11164,183
경북 예천군,7974,117,0.014672686,548,589,736,1873,0.722154018,3,0,570,11905,117
경북 봉화군,5716,91,0.015920224,530,571,709,1810,0.672518357,0,0,404,13725,44
경북 울진군,4151,40,0.009636232,511,550,674,1735,0.562374169,0,0,806,7160,21
경북 울릉군,452,9,0.019911504,0,0,0,0,0.122981018,0,0,480,,
전남 목포시,1506,0,0,492,530,647,1669,0.434832339,0,0,413,282,14
전남 여수시,9023,43,0.004765599,488,525,646,1659,0.559605721,2,0,116,7766,66
전남 순천시,12664,95,0.007501579,507,546,667,1720,0.665180271,1,0,248,9340,68
전남 나주시,10708,126,0.011766903,476,513,625,1614,0.671401719,0,0,953,127945,220
전남 광양시,6892,43,0.006239118,493,531,645,1669,0.55250608,0,0,485,7024,36
전남 담양군,6621,119,0.017973116,447,482,577,1506,0.638822482,0,0,385,104359,117
전남 곡성군,4598,108,0.023488473,434,467,567,1468,0.633884889,3,1,60,25496,132
전남 구례군,4246,47,0.011069242,486,524,639,1649,0.555407129,2,0,230,16140,56
전남 고흥군,9039,132,0.014603385,502,540,668,1710,0.702206236,0,0,123,40908,277
전남 보성군,7093,92,0.012970534,444,478,640,1562,0.6036317,3,13,350,26431,129
전남 화순군,5967,78,0.013071895,479,516,638,1633,0.602868461,5,0,302,37559,160
전남 장흥군,5593,66,0.011800465,450,485,661,1596,0.570700827,0,0,430,27096,115
전남 강진군,5366,77,0.014349609,479,516,639,1634,0.604380402,1,0,413,39643,134
전남 해남군,11074,118,0.01065559,480,517,643,1640,0.667708424,0,5,515,44179,374
전남 영암군,6917,98,0.014167992,493,531,676,1700,0.650075579,0,0,435,23506,224
